72773,USW00024153,MT,MISSOULA
72552,USW00014935,NE,GRAND ISLAND
72551,USW00014939,NE,LINCOLN
72556,USW00014941,NE,NORFOLK
72562,USW00024023,NE,NORTH PLATTE
72550,USW00014942,NE,OMAHA
72566,USW00024028,NE,SCOTTSBLUFF
72567,USW00024032,NE,VALENTINE
99KEKO,USW00024121,NV,ELKO
72486,USW00023154,NV,ELY
72386,USW00023169,NV,LAS VEGAS
99KLOL,USW00004127,NV,LOVELOCK
72488,USW00023185,NV,RENO
72485,USW00023153,NV,TONOPAH
72583,USW00024128,NV,WINNEMUCCA
72605,USW00014745,NH,CONCORD
99KLEB,USW00094765,NH,LEBANON
72613,USW00014755,NH,MT WASHINGTON
72407,USW00093730,NJ,ATLANTIC CITY
72502,USW00014734,NJ,NEWARK
72365,USW00023050,NM,ALBUQUERQUE
99KCNM,USW00093033,NM,CARLSBAD
72360,USW00023051,NM,CLAYTON
99KGUP,USW00023081,NM,GALLUP
72268,USW00023009,NM,ROSWELL
99KCVN,USC00291939,NM,CLOVIS
72518,USW00014735,NY,ALBANY
72515,USW00004725,NY,BINGHAMTON
72528,USW00014733,NY,BUFFALO
99KGFL,USW00014750,NY,GLENS FALLS
99KMSS,USW00094725,NY,MASSENA
72503,USW00014732,NY,NEW YORK
72529,USW00014768,NY,ROCHESTER
72519,USW00014771,NY,SYRACUSE
99KRME,USW00064775,NY,ROME
99KART,USW00094790,NY,WATERTOWN
72315,USW00003812,NC,ASHEVILLE
72304,USW00093729,NC,CAPE HATTERAS
72314,USW00013881,NC,CHARLOTTE
72317,USW00013723,NC,GREENSBORO
99KHKY,USW00003810,NC,HICKORY
99KEWN,USW00093719,NC,NEW BERN
72306,USW00013722,NC,RALEIGH DURHAM
72302,USW00013748,NC,WILMINGTON
72764,USW00024011,ND,BISMARCK
72758,USC00322148,ND,DEVIL'S LAKE
99KDIK,USW00024012,ND,DICKINSON
72753,USW00014914,ND,FARGO
99KGFK,USW00014916,ND,GRAND FORKS
99KJMS,USW00014919,ND,JAMESTOWN
99KMOT,USW00024013,ND,MINOT
72767,USW00094014,ND,WILLISTON
72521,USW00014895,OH,AKRON CANTON
72524,USW00014820,OH,CLEVELAND
72428,USW00014821,OH,COLUMBUS
72421,USW00093814,KY,CINCINNATI
72429,USW00093815,OH,DAYTON
99KFDY,USW00014825,OH,FINDLAY
99KMFD,USW00014891,OH,MANSFIELD
72536,USW00094830,OH,TOLEDO
72525,USW00014852,OH,YOUNGSTOWN
99KLHQ,USW00053844,OH,LANCASTER
99KGAG,USW00013975,OK,GAGE
99KHBR,USW00093986,OK,HOBART
99KMLC,USW00093950,OK,MCALESTER
72353,USW00013967,OK,OKLAHOMA CITY
99KPNC,USW00013969,OK,PONCA CITY
72356,USW00013968,OK,TULSA
72791,USW00094224,OR,ASTORIA
99KBKE,USW00024130,OR,BAKER
72683,USW00094185,OR,BURNS
72693,USW00024221,OR,EUGENE
72597,USW00024225,OR,MEDFORD
99KOTH,USW00024284,OR,NORTH BEND
72688,USW00024155,OR,PENDLETON
72698,USW00024229,OR,PORTLAND
99KRDM,USW00024230,OR,REDMOND
72694,USW00024232,OR,SALEM
72517,USW00014737,PA,ALLENTOWN
99KAOO,USW00014736,PA,ALTOONA
99KBFD,USW00004751,PA,BRADFORD
99KDUJ,USW00004787,PA,DU BOIS
72526,USW00014860,PA,ERIE
72511,USW00014751,PA,HARRISBURG
72408,USW00013739,PA,PHILADELPHIA
72520,USW00094823,PA,PITTSBURGH
72513,USW00014777,PA,SCRANTON
72514,USW00014778,PA,WILLIAMSPORT
72507,USW00014765,RI,PROVIDENCE
72208,USW00013880,SC,CHARLESTON
72310,USW00013883,SC,COLUMBIA
99KFLO,USW00013744,SC,FLORENCE
72312,USW00003870,SC,GREENVILLE
72659,USW00014929,SD,ABERDEEN
72654,USW00014936,SD,HURON
99KPIR,USW00024025,SD,PIERRE
72662,USW00024090,SD,RAPID CITY
72651,USW00014944,SD,SIOUX FALLS
99KATY,USW00014946,SD,WATERTOWN
99KTRI,USW00013877,TN,BRISTOL
72324,USW00013882,TN,CHATTANOOGA
99KCSV,USW00003847,TN,CROSSVILLE
99KMKL,USW00003811,TN,JACKSON
72326,USW00013891,TN,KNOXVILLE
72334,USW00013893,TN,MEMPHIS
72327,USW00013897,TN,NASHVILLE
72266,USW00013962,TX,ABILENE
99KALI,USW00012932,TX,ALICE
72363,USW00023047,TX,AMARILLO
99KATT,USW00013958,TX,AUSTIN
72250,USW00012919,TX,BROWNSVILLE
99KCLL,USW00003904,TX,COLLEGE STATION
72251,USW00012924,TX,CORPUS CHRISTI
99KDHT,USW00093042,TX,DALHART
72259,USW00003927,TX,DALLAS FT WORTH
72261,USW00022010,TX,DEL RIO
72270,USW00023044,TX,EL PASO
72242,USW00012923,TX,GALVESTON
72243,USW00012960,TX,HOUSTON
72252,USW00012907,TX,LAREDO
72267,USW00023042,TX,LUBBOCK
99KLFK,USW00093987,TX,LUFKIN
99KMFE,USW00012959,TX,MCALLEN
72265,USW00023023,TX,MIDLAND ODESSA
99KPSX,USW00012935,TX,PALACIOS
99KCXO,USW00053902,TX,CONROE
72263,USW00023034,TX,SAN ANGELO
72253,USW00012921,TX,SAN ANTONIO
72255,USW00012912,TX,VICTORIA
72256,USW00013959,TX,WACO
72351,USW00013966,TX,WICHITA FALLS
99KCDC,USW00093129,UT,CEDAR CITY
72572,USW00024127,UT,SALT LAKE CITY
72617,USW00014742,VT,BURLINGTON
99KMPV,USW00094705,VT,MONTPELIER
72410,USW00013733,VA,LYNCHBURG
72308,USW00013737,VA,NORFOLK
